编号	定义文件	标题	需求状态	优先级	来源	关联需求	设计证据	实现证据	自动化证据	真实环境证据	最终状态	最近检查
DEV-TEST-002	doc/requirements/v1/09-development-quality-requirements.md	测试层次与真实风险相匹配	已接受	P0	KnownMap 同时包含纯逻辑、数据库事务、API、文件、Chrome 插件、B 站页面和真实发布环境	`INT-EXT-001`、`INT-EXT-003`、`INT-BILI-001`、`INT-BILI-002`					待设计	
DEV-TEST-003	doc/requirements/v1/09-development-quality-requirements.md	变更和缺陷都有回归保护	已接受	P0	v1 重构需要保护已确认的业务行为，但不默认保留旧实现细节	`DATA-QUALITY-002`、`DATA-QUALITY-003`					待设计	
DEV-LOG-001	doc/requirements/v1/09-development-quality-requirements.md	关键业务动作具有安全的诊断链	已接受	P0	登录、保存、发布、授权、下载、安装、导入和恢复需要在不读取业务正文的前提下定位失败	`FR-ADMIN-003`、`FR-ADMIN-006`、`DATA-OPS-001`、`DATA-OPS-002`、`SEC-SECRET-001`、`SEC-SECRET-003`、`SEC-PRIV-002`					待设计	
DEV-DOC-001	doc/requirements/v1/09-development-quality-requirements.md	代码与当前权威文档同步变更	已接受	P0	v1 要求需求、设计、实现、测试和发布证据可追溯	`CONSTRAINT-06`、`DATA-QUALITY-003`					待设计	
DEV-DOC-002	doc/requirements/v1/09-development-quality-requirements.md	只有通过相关门禁的单一变更进入主线和发布	已接受	P0	小步变更需要可验证、可回溯且不混入无关修改	`DEV-*`					待设计	
OPS-ENV-001	doc/requirements/v1/10-deployment-operations-requirements.md	每个运行环境具有明确用途和独立状态	已接受	P0	开发、测试、发布验证和正式使用对数据、配置、秘密和外部可见性有不同责任	`DATA-LIFE-001`、`DEV-DEP-002`、`SEC-SECRET-003`					待设计	
OPS-ENV-002	doc/requirements/v1/10-deployment-operations-requirements.md	生产只暴露必要能力并使用最小运行权限	已接受	P0	Web、API、运行进程、数据库、备份和管理入口的暴露面与账号、课程和授权风险直接相关	`SEC-ACCESS-001`、`SEC-ACCESS-003`、`SEC-SECRET-001`、`SEC-SECRET-003`、`DEV-DEP-002`					待设计	
OPS-RELEASE-001	doc/requirements/v1/10-deployment-operations-requirements.md	发布结果可追溯到唯一远程代码版本	已接受	P0	Web、API、数据库迁移和学生插件需要共同实现同一套已接受契约	`DEV-STRUCT-002`、`DEV-DEP-001`、`DEV-DOC-002`、`DATA-OPS-002`					待设计	
OPS-RELEASE-002	doc/requirements/v1/10-deployment-operations-requirements.md	新版本原子切换并在对外完成前验证	已接受	P0	页面、API、依赖和数据库可能分别成功或失败，造成版本混用和部分上线	`SUCCESS-05`、`DATA-QUALITY-002`、`DEV-TEST-002`、`DEV-DOC-002`					待设计	
OPS-DATA-001	doc/requirements/v1/10-deployment-operations-requirements.md	风险变更前建立可识别的服务端恢复点	已接受	P0	当前生产已有教师账号、课程、发布和授权数据，重构不得直接清库或覆盖	`CONSTRAINT-03`、`DATA-LIFE-003`、`SEC-PRIV-001`					待设计	
OPS-DATA-002	doc/requirements/v1/10-deployment-operations-requirements.md	数据迁移先在代表性副本验证	已接受	P0	v1 可能改变当前账号、课程、课节、发布、授权和插件契约	`CONSTRAINT-03`、`DATA-ID-003`、`DATA-DELIVERY-001`、`DATA-DELIVERY-003`、`DATA-QUALITY-001`、`DATA-QUALITY-003`					待设计	
OPS-DATA-003	doc/requirements/v1/10-deployment-operations-requirements.md	备份只有通过恢复验证才算可用	已接受	P0	已生成备份不能证明它能恢复账号、工作空间、课程、发布和授权的一致关系	`SCOPE-09`、`DATA-LIFE-003`、`DATA-OPS-002`、`DATA-QUALITY-003`					待设计	
OPS-HEALTH-001	doc/requirements/v1/10-deployment-operations-requirements.md	运行环境显示当前版本和核心健康结果	已接受	P0	运营和支持人员需要区分部署失败、服务故障、契约不符和宿主环境问题	`FR-ADMIN-004`、`FR-ADMIN-005`、`DATA-OPS-002`、`DEV-LOG-001`、`SEC-PRIV-002`					待设计	
OPS-HEALTH-002	doc/requirements/v1/10-deployment-operations-requirements.md	公开试用入口在发布前验证可提交和可接收	已接受	P0	`D-V1-001`、`SCN-PUB-01`；公开销售页和飞书表单属于 v1 P0	`FR-INTAKE-001`、`FR-INTAKE-003`、`DATA-INTAKE-001`、`INT-TRIAL-001`、`INT-TRIAL-002`、`SEC-PRIV-003`					待设计	
OPS-INCIDENT-001	doc/requirements/v1/10-deployment-operations-requirements.md	故障处理优先限制影响并保留可恢复证据	已接受	P0	发布、迁移、外部依赖、宿主页面和数据故障可能同时影响教师与学生核心路径	`SCN-ERR-02`、`FR-ADMIN-004`、`FR-ADMIN-006`、`DATA-QUALITY-003`、`DEV-CODE-002`					待设计	
MIG-SOURCE-001	doc/requirements/v1/11-migration-compatibility-requirements.md	每个旧对象和用户路径都有唯一处理结论	已接受	P0	现有仓库同时包含已运行生产能力、多课程实现、历史单课程原型、旧品牌命名和已替代文档	`CONSTRAINT-03`、`DEV-DOC-001`、`OPS-ENV-001`					待设计	
MIG-SERVER-001	doc/requirements/v1/11-migration-compatibility-requirements.md	账号、工作空间和业务对象保留稳定归属	已接受	P0	生产已有管理员、教师、工作空间、课程、课节、草稿、发布和授权数据	`FR-WS-007`、`FR-WS-008`、`DATA-ID-003`、`DATA-DELIVERY-001`、`DATA-DELIVERY-005`、`DATA-OPS-001`					待设计	
MIG-SERVER-002	doc/requirements/v1/11-migration-compatibility-requirements.md	凭证只在可安全验证时继续有效	已接受	P0	密码验证值、授权码验证值和系统密钥分别决定账号登录、课程领取和历史凭证可用性	`DATA-ID-002`、`DATA-DELIVERY-003`、`SEC-SECRET-001`、`SEC-SECRET-003`、`OPS-DATA-002`					待设计	
MIG-LOCAL-001	doc/requirements/v1/11-migration-compatibility-requirements.md	只迁移可证明兼容的本机课程库和学习状态	已接受	P0	当前多课程实现使用 `studentCourseStore`、存储版本 2 和课程包 Schema 2；学生可能已有本机课程与学习结果	`FR-LIB-009`、`FR-LIB-010`、`FR-LIB-013`、`FR-LEARN-013`、`DATA-LOCAL-005`					待设计	
MIG-LOCAL-002	doc/requirements/v1/11-migration-compatibility-requirements.md	已否决单课程键不伪装成可兼容数据	已接受	P0	`D-025` 及已完成的多课程实现明确不再使用 `{ "course": ... }`、`installedCourse` 和 `learningState`	`FR-LIB-001`、`FR-LIB-005`、`FR-RUNTIME-001`、`DATA-ID-004`、`SEC-TRUST-003`					待设计	
MIG-CONTRACT-001	doc/requirements/v1/11-migration-compatibility-requirements.md	不兼容契约切换不产生新旧组件混用	已接受	P0	服务端下载响应、课程包、插件存储、插件消息和教师预览协议可以独立变化	`INT-EXT-002`、`INT-PACKAGE-001`、`INT-PACKAGE-002`、`DEV-STRUCT-002`、`OPS-RELEASE-001`、`OPS-RELEASE-002`					待设计	
MIG-CONTRACT-002	doc/requirements/v1/11-migration-compatibility-requirements.md	历史单课程下载响应不建立长期兼容层	已接受	P0	`D-025` 已确认历史 `{ "course": ... }` 响应未作为正式课程交付，当前真源为 `{ "courses": [...] }`	`DATA-CONTENT-001`、`DATA-DELIVERY-002`、`INT-PACKAGE-001`、`SEC-TRUST-002`					待设计	
MIG-CUTOVER-001	doc/requirements/v1/11-migration-compatibility-requirements.md	迁移经过代表性演练、对账和受控切换	已接受	P0	v1 切换可能同时影响服务端数据、Web、API、插件和真实用户路径	`OPS-DATA-001`、`OPS-DATA-003`、`OPS-RELEASE-002`、`DEV-TEST-002`、`DEV-DOC-002`					待设计	
MIG-CUTOVER-002	doc/requirements/v1/11-migration-compatibility-requirements.md	旧入口和兼容标识只在无活跃责任后弃用	已接受	P0	旧品牌名、页面路径、存储键、协议标识和历史文档可能仍承担重定向、识别、迁移或追溯职责	`CONSTRAINT-06`、`DEV-DOC-001`、`OPS-RELEASE-001`					待设计	
ACC-COVER-001	doc/requirements/v1/12-acceptance-traceability.md	所有已接受稳定编号都进入矩阵且不重复	已接受	P0	—	—					待设计	
ACC-LINK-001	doc/requirements/v1/12-acceptance-traceability.md	每项产物与稳定需求双向可追溯	已接受	P0	—	—					待设计	
ACC-LINK-002	doc/requirements/v1/12-acceptance-traceability.md	追踪状态只表示已有证据的阶段	已接受	P0	—	—					待设计	
ACC-EVIDENCE-001	doc/requirements/v1/12-acceptance-traceability.md	验收证据可定位、可重复且准确说明范围	已接受	P0	—	—					待设计	
ACC-EVIDENCE-002	doc/requirements/v1/12-acceptance-traceability.md	自动化和真实环境证据覆盖各自适合的边界	已接受	P0	—	—					待设计	
ACC-CHANGE-001	doc/requirements/v1/12-acceptance-traceability.md	上游变化后重新评估受影响证据	已接受	P0	—	—					待设计	
ACC-GATE-001	doc/requirements/v1/12-acceptance-traceability.md	任一适用 P0 需求未完成时不发布 v1	已接受	P0	—	—					待设计	
ACC-GATE-002	doc/requirements/v1/12-acceptance-traceability.md	发布记录固定实际产物和最终验证结果	已接受	P0	—	—					待设计	
